devry university-virginia, arlington, va, https://www.devry.edu
divine mercy university, arlington, va, www.divinemercy.edu
graham webb international academy of hair, arlington, va, www.grahamwebbacademy.edu
marymount university, arlington, va, https://www.marymount.edu
ogle school hair skin nails-arlington, arlington, tx, ogleschool.edu
paul mitchell the school-arlington, arlington, tx, paulmitchell.edu/arlington
strayer university-virginia, arlington, va, www.strayer.edu/virginia/arlington
the art institute of washington, arlington, va, www.artinstitutes.edu/arlington
the university of texas at arlington, arlington, tx, www.uta.edu
anne arundel community college, arnold, md, www.aacc.edu
colegio mayor de tecnologia inc, arroyo, pr, www.cmtarroyo.com
angeles institute, artesia, ca, www.angelesinstitute.edu/
the landing school, arundel, me, www.landingschool.edu
college of international esthetics inc, arvada, co, www.cieskincarecollege.com
strayer university-loudoun campus, ashburn, va, www.strayer.edu/virginia/loudoun
randolph community college, asheboro, nc, www.randolph.edu
carolina college of hair design, asheville, nc, carolinacollege.com
center for massage, asheville, nc, centerformassage.com
daoist traditions college of chinese medical arts, asheville, nc, daoisttraditions.edu
university of north carolina at asheville, asheville, nc, https://www.unca.edu
ashland county-west holmes career center, ashland, oh, www.acwhcc.org
ashland university, ashland, oh, https://www.ashland.edu
northland college, ashland, wi, www.northland.edu
randolph-macon college, ashland, va, www.rmc.edu
southern oregon university, ashland, or, www.sou.edu
tri-state barber college, ashland, ky, www.tri-statebarbercollege.com
kent state university at ashtabula, ashtabula, oh, www.kent.edu/ashtabula
empire beauty school-green bay, ashwaubenon, wi, www.empire.edu
neumann university, aston, pa, www.neumann.edu
clatsop community college, astoria, or, www.clatsopcc.edu
empire beauty school-queens, astoria, ny, www.empire.edu
miami ad school-new york, astoria, ny, www.miamiadschool.com
benedictine college, atchison, ks, www.benedictine.edu
athens state university, athens, al, www.athens.edu
concord university, athens, wv, www.concord.edu
georgia institute of cosmetology, athens, ga, gic.edu
ohio university-main campus, athens, oh, www.ohio.edu
tennessee wesleyan university, athens, tn, www.tnwesleyan.edu
trinity valley community college, athens, tx, www.tvcc.edu
university of georgia, athens, ga, www.uga.edu
menlo college, atherton, ca, www.menlo.edu
altierus career college-atlanta west, atlanta, ga, https://www.altierus.org/campus/atlanta-west
american intercontinental university-atlanta, atlanta, ga, www.aiuniv.edu/online-campus/campus-locations/atlanta
argosy university-atlanta, atlanta, ga, www.argosy.edu/locations/atlanta
atlanta metropolitan state college, atlanta, ga, www.atlm.edu
atlanta school of massage, atlanta, ga, www.atlantaschoolofmassage.com
atlanta's john marshall law school, atlanta, ga, www.johnmarshall.edu
beulah heights university, atlanta, ga, www.beulah.edu
brown college of court reporting, atlanta, ga, www.bccr.edu
